name,category,availability,wikiPage,placementFootprint,verificationStatus,source,aliases,placementType
Scout,Starter,current,Scout,1.5,verified-current,tds-wiki-current-2026-08-20,Scout,ground
Sniper,Starter,current,Sniper,1.25,verified-current,tds-wiki-current-2026-08-20,Sniper,cliff
Paintballer,Starter,current,Paintballer,1.25,verified-current,tds-wiki-current-2026-08-20,Paintballer,ground
Demoman,Starter,current,Demoman,1.5,verified-current,tds-wiki-current-2026-08-20,Demoman,ground
Slime Trooper,Starter,current,Slime Trooper,1.5,verified-current,tds-wiki-current-2026-08-20,Slime Trooper|SlimeTrooper,ground
Soldier,Starter,current,Soldier,1.5,verified-current,tds-wiki-current-2026-08-20,Soldier,ground
Freezer,Intermediate,current,Freezer,1.5,verified-current,tds-wiki-current-2026-08-20,Freezer,ground
Assassin,Intermediate,current,Assassin,1.5,estimated,fallback-average,Assassin,ground
Militant,Intermediate,current,Militant,1.5,reviewed,strategy-lab-prior-catalog,Militant,ground
Shotgunner,Intermediate,current,Shotgunner,1.0,reviewed,strategy-lab-prior-catalog,Shotgunner,ground
Hunter,Intermediate,current,Hunter,1.5,estimated,fallback-average,Hunter,ground
Pyromancer,Intermediate,current,Pyromancer,1.5,estimated,fallback-average,Pyromancer,ground
Ace Pilot,Intermediate,current,Ace Pilot,1.5,estimated,fallback-average,Ace Pilot|AcePilot,ground
Medic,Intermediate,current,Medic,1.5,estimated,fallback-average,Medic,ground
Farm,Intermediate,current,Farm,1.75,reviewed,strategy-lab-prior-catalog,Farm,ground
Electroshocker,Intermediate,current,Electroshocker,1.5,estimated,fallback-average,Electroshocker,ground
Rocketeer,Intermediate,current,Rocketeer,1.5,estimated,fallback-average,Rocketeer,ground
Trapper,Intermediate,current,Trapper,1.5,estimated,fallback-average,Trapper,ground
Military Base,Intermediate,current,Military Base,1.5,estimated,fallback-average,Military Base|MilitaryBase|Mil Base|MilBase,ground
Crook Boss,Intermediate,current,Crook Boss,1.5,reviewed,strategy-lab-prior-catalog,Crook Boss|CrookBoss,ground
Commander,Advanced,current,Commander,1.5,reviewed,strategy-lab-prior-catalog,Commander,ground
Warden,Advanced,current,Warden,1.0,verified-current,tds-wiki-current-2026-08-20,Warden,ground
Cowboy,Advanced,current,Cowboy,1.5,estimated,fallback-average,Cowboy,ground
DJ Booth,Advanced,current,DJ Booth,2.5,verified-current,tds-wiki-current-2026-08-20,DJ Booth|DJBooth|DJ,ground
Tesla,Advanced,current,Tesla,1.5,estimated,fallback-average,Tesla,ground
Saboteur,Advanced,current,Saboteur,1.5,estimated,fallback-average,Saboteur,ground
Minigunner,Advanced,current,Minigunner,1.5,reviewed,strategy-lab-prior-catalog,Minigunner,ground
Ranger,Advanced,current,Ranger,1.5,estimated,fallback-average,Ranger,cliff
